comment_id,text,video_id
UgzO4qIGUgM_fHSEq114AaABAg,"No lies spoken, especially ""What year are you?"" Please, please don't ask me that 🤣😅😆",5YP8Y_ZQ7Vg
UgxIePR1Ls4HpRAyqTF4AaABAg,Have you done your candidacy exam? 😢,5YP8Y_ZQ7Vg
UgwkckROMGLvi2oLP4V4AaABAg,😂,5YP8Y_ZQ7Vg
Ugw8JFgSyfWC1KRZd4B4AaABAg,Such a glowing PhD scholar😊😊😊,5YP8Y_ZQ7Vg
Ugyl5VskGlDQfytF9MV4AaABAg,You nailed it. This clip should go viral 😀,5YP8Y_ZQ7Vg
UgxTv8LxhQTiKzKy8Id4AaABAg,I love your top 🥰🥰,5YP8Y_ZQ7Vg
UgyXVcS-S-Wp1EFk5hx4AaABAg,"In my school, which year are you ? is a normal question by some professors. It is indeed, terrible but I wonder how they ask.",5YP8Y_ZQ7Vg
UgylrJ9GEfjpACT26iB4AaABAg,Are you married Dr? I am interested that's why I am asking,5YP8Y_ZQ7Vg
UgwOGX6VjejMMMU1qsl4AaABAg,We will graduate when we graduate 😂😂😂,5YP8Y_ZQ7Vg
Ugwg8OHJbCm_uCVJLmx4AaABAg,"Okay so basically, don’t talk to a PhD student. Got it!😅",5YP8Y_ZQ7Vg
Ugxw13nnYREbefuvm_14AaABAg,"My field is History and the organization I will recommend is American Historical Association. 

The annual conference happens first week of January.",CC9XKWWVLnY
Ugyav0n3vAmzOpgUQ7J4AaABAg,Thank you Dr. Jane.,CC9XKWWVLnY
Ugxc_ikmjr6bvm1AkZZ4AaABAg,"Hello, Dr. Jane, I'm going to U of Rochester this fall to start my PhD in English. I found your tips very helpful, since the stipend for humanities isn't very high, I'll keep that information in mind. Do you remember which department the lady who helped you with the conference funding was from? I want to go as prepared as possible.",CC9XKWWVLnY
UgxQPPXAbNzTMOtmvzF4AaABAg,"Do materials science and engineering get this number of opportunities , is materials science and engineering great for industry",CC9XKWWVLnY
Ugzm-ShCq8_N6_93R8J4AaABAg,Self-funded legal 😢 Veey expensive,CC9XKWWVLnY
UgzTbS_loBM6oV8uRhF4AaABAg,"Hello Jane. Please, can you do a video talking about the requirements to apply for PhD programs. I would love it if you discuss whether all PhD programs require research experience, and how graduates with no research experience can get it before applying for PhD research programs.",CC9XKWWVLnY
UgyX85fiyEj9awoDNLp4AaABAg,"It's good that you're ""putting people up on game,"" to use an African American expression, regarding getting funding for conferences. Your point about looking for funding from campus institutions and programs that have a mandate to support minorities or women is a great one. That was one way I was able to fund travel to conferences in places such as Sweden, England and Trinidad & Tobago as a graduate student.

There's another level to this as well: when filling out these applications you need to be very exact in terms of outlining how the money is being spent, making the case for the essential nature of your research, and the value of this chance for professional development. Lastly, get someone who has received one of these travel grants to show you their application, and mirror theirs (in terms of structure, not content obviously) as much as possible.",CC9XKWWVLnY
UgxFi8Y67D9AykyT9q54AaABAg,Dr. Jane can I have your email please.,CC9XKWWVLnY
UgwrMac1wksjpVkJg994AaABAg,"Thank you so much Dr. Jane, this is video is very enlightening. I have a question, please when exactly did you start to consider attending conferences, was it in your first year or after your candidacy examination?",CC9XKWWVLnY
Ugx1ov6Nf1RYNQtp-VR4AaABAg,"Your channel is full of inspirational  videos. Please help me I need scholarship for phd in UK, how do I go about",CC9XKWWVLnY
UgxCXv4J6ASA_v_DW2V4AaABAg,"I know my program helped with a large chunk of our insurance, at a point I think I stopped paying at all. But it may have been my groups funding that covered it.",GJAkh8gMSbU
UgweuH6q_sZqtLXUHxJ4AaABAg,Making my hair was depressing for me 🤣🤣🤣,GJAkh8gMSbU
UgycqbpbRyMeq9wCdyt4AaABAg,Thank you so much for this insightful video. I am starting my PhD in August and preparing financially has been something i have been thinking about.,GJAkh8gMSbU
UgxI8wam4o5gqW0y6094AaABAg,"Also saying No to outings!!!
Arghh, if you think you think the person that invited you will be the one to pay for the meals then, you’re joking.
If you don’t have money for your meals plus tip, just decline hangouts.",GJAkh8gMSbU
UgywsjSzCETi4JyhNsR4AaABAg,Beauty and brain,GJAkh8gMSbU
UgyPe06OJpzmcwC69QF4AaABAg,"I will definitely need your assistance as am starting my application late this year,once I finish my master in public health epidemiology",GJAkh8gMSbU
Ugzj8iLWWzEBSq4BjXJ4AaABAg,See my missing sister,GJAkh8gMSbU
UgxBB53kE4Ik8sb0JMt4AaABAg,Is it possible to do internship with PhD.… I thought it was a crime,GJAkh8gMSbU
UgzQMhXM5ouAUsyDYgV4AaABAg,"Solid advice as usual. I'll add one more: don't have pets 🤣. 

Pets can provide emotional support so I get why people would have them, but they are a major expense. And not only did I save money by not having any, I made money during Christmas and summer breaks by watching my advisor's and some of my friends' cats and reptiles. 

Also, I didn't know that in my department we could teach over the summer but after my first year a friend informed me of this. In my department (English) they gave priority to international students for teaching jobs over the summer, so check for similar opportunities in your department. The teaching can be intense: every day for six weeks in my case, but then you have money to pay rent, travel, build your savings, during the break.",GJAkh8gMSbU
Ugyu940HzjPdWINlPdt4AaABAg,Your videos are great💖💖,GJAkh8gMSbU
UgyzexarkH5Qkm8toJd4AaABAg,Great video. Love that you didn't make it an engineering specific content.,mfbc_11uoSk
UgwbZzasphwPBhC4AqJ4AaABAg,"From what i know, only citizens are employed to the EPA.",mfbc_11uoSk
UgwDuaTYHOjnTsdywWB4AaABAg,"Beautiful lady with insightful content .. thanks, i am in my second year in PĥD ...",mfbc_11uoSk
UgxrpB86DjIAZu2KEA54AaABAg,This is so timely. Currently at this junction. 😢,mfbc_11uoSk
UgyalNOj-WbHKaVYe8B4AaABAg,Congratulations sis,mfbc_11uoSk
UgxLvrYUGp9BzQQv6bp4AaABAg,"Youtube content creation is also a good PhD good. Discuss your PhD research experience, and research findings/outcomes and you will gain a unique audience",mfbc_11uoSk
UgzwpEAI3jpHgmsxdzR4AaABAg,Cheeky got an arrow!!!,mfbc_11uoSk
UgyeTJPOsd-j2hWdH494AaABAg,"Thank You for Your Valuable Advice  Dr! I hope this message finds you well. I wanted to take a moment to sincerely thank you for the insightful advice you shared during your tutorial. As someone who has successfully navigated a PhD program, your guidance carries immense value, and I truly appreciate the time and effort you took to share your expertise. Wishing you continued success in all your endeavors.  👏🏽",mfbc_11uoSk
UgyNBwaBVLnZck31vbt4AaABAg,Thank you for revealing this conceprts and thoughts! It's really useful!,mfbc_11uoSk
Ugy0_NrhEV9VLsUb8jp4AaABAg,"Thank you so much Dr. Jane 
Very informative 👏🏾👏🏾",mfbc_11uoSk
